theta,eps,lam,spiral_exists,wedge_found,wedge_valid_fraction,kappa_hat,n_orbits_valid,escape_fraction,fail_reason
0.5,0.0,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.10526315789473684,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.21052631578947367,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.3157894736842105,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.42105263157894735,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.5263157894736842,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.631578947368421,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.7368421052631579,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.8421052631578947,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.9473684210526315,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.0526315789473684,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.1578947368421053,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.263157894736842,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.3684210526315788,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.4736842105263157,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.5789473684210527,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.6842105263157894,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.789473684210526,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,1.894736842105263,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,2.0,0.01,0,0,0.0,,0,0.0,no_wedge
0.5,0.0,0.11473684210526315,0,0,0.14,0.23545655530680223,15,0.5,no_wedge
0.5,0.10526315789473684,0.11473684210526315,0,0,0.14,0.3126788808288095,15,0.8,no_wedge
0.5,0.21052631578947367,0.11473684210526315,0,0,0.14,0.47225200955550173,26,1.0,no_wedge
0.5,0.3157894736842105,0.11473684210526315,0,0,0.14,0.3703470464372828,28,1.0,no_wedge
0.5,0.42105263157894735,0.11473684210526315,0,0,0.14,0.17418685032574271,29,1.0,no_wedge
0.5,0.5263157894736842,0.11473684210526315,0,0,0.14,0.27712340285750103,29,1.0,no_wedge
0.5,0.631578947368421,0.11473684210526315,0,0,0.14,0.597482389854681,29,1.0,no_wedge
0.5,0.7368421052631579,0.11473684210526315,0,0,0.14,0.2919091332414781,29,1.0,no_wedge
0.5,0.8421052631578947,0.11473684210526315,0,0,0.14,0.0139316720577962,17,0.5666666666666667,no_wedge
0.5,0.9473684210526315,0.11473684210526315,0,0,0.14,0.39547665700572643,18,0.6,no_wedge
0.5,1.0526315789473684,0.11473684210526315,0,0,0.14,0.3300817556967306,13,0.43333333333333335,no_wedge
0.5,1.1578947368421053,0.11473684210526315,0,0,0.14,-0.04489795004652973,15,0.5,no_wedge
0.5,1.263157894736842,0.11473684210526315,0,0,0.14,0.16984903569781878,18,0.6,no_wedge
0.5,1.3684210526315788,0.11473684210526315,0,0,0.14,0.24347382939079043,10,0.36666666666666664,no_wedge
0.5,1.4736842105263157,0.11473684210526315,0,0,0.14,0.07298477559826178,11,0.4,no_wedge
0.5,1.5789473684210527,0.11473684210526315,0,0,0.14,-0.07772060410143262,11,0.36666666666666664,no_wedge
0.5,1.6842105263157894,0.11473684210526315,0,0,0.14,-0.20751936469661908,11,0.36666666666666664,no_wedge
0.5,1.789473684210526,0.11473684210526315,0,0,0.14,-0.23917862515578786,13,0.43333333333333335,no_wedge
0.5,1.894736842105263,0.11473684210526315,0,0,0.14,-0.018905518310122063,9,0.3333333333333333,no_wedge
0.5,2.0,0.11473684210526315,0,0,0.14,0.02455411987696739,9,0.3333333333333333,no_wedge
0.5,0.0,0.21947368421052632,0,0,0.22,-0.1510004767209765,23,0.7666666666666667,no_wedge
0.5,0.10526315789473684,0.21947368421052632,0,0,0.22,-0.17220805678025244,29,1.0,no_wedge
0.5,0.21052631578947367,0.21947368421052632,0,0,0.22,-0.07107881206419016,19,0.6333333333333333,no_wedge
0.5,0.3157894736842105,0.21947368421052632,0,0,0.22,0.06674019709844456,21,0.7,no_wedge
0.5,0.42105263157894735,0.21947368421052632,0,0,0.22,0.07432654625076125,23,0.7666666666666667,no_wedge
0.5,0.5263157894736842,0.21947368421052632,0,0,0.22,0.04887948755319236,21,0.7,no_wedge
0.5,0.631578947368421,0.21947368421052632,0,0,0.22,-0.12488876798433439,26,0.8666666666666667,no_wedge
0.5,0.7368421052631579,0.21947368421052632,0,0,0.22,0.17133123310456042,22,0.7333333333333333,no_wedge
0.5,0.8421052631578947,0.21947368421052632,0,0,0.22,-0.3857694277742548,21,0.7,no_wedge
0.5,0.9473684210526315,0.21947368421052632,0,0,0.22,-0.011104936350192232,22,0.7333333333333333,no_wedge
0.5,1.0526315789473684,0.21947368421052632,0,0,0.22,-0.09064201504282582,20,0.6666666666666666,no_wedge
0.5,1.1578947368421053,0.21947368421052632,0,0,0.22,-0.39583612402966317,21,0.7,no_wedge
0.5,1.263157894736842,0.21947368421052632,0,0,0.22,0.18168381103750245,24,0.8,no_wedge
0.5,1.3684210526315788,0.21947368421052632,0,0,0.22,0.2820432935677545,20,0.6666666666666666,no_wedge
0.5,1.4736842105263157,0.21947368421052632,0,0,0.22,-0.20816768396662189,22,0.7333333333333333,no_wedge
0.5,1.5789473684210527,0.21947368421052632,0,0,0.22,0.43148870202668477,23,0.7666666666666667,no_wedge
0.5,1.6842105263157894,0.21947368421052632,0,0,0.22,0.21678227973318237,20,0.6666666666666666,no_wedge
0.5,1.789473684210526,0.21947368421052632,0,0,0.22,0.0018571846428159892,24,0.8,no_wedge
0.5,1.894736842105263,0.21947368421052632,0,0,0.22,0.2920630582773906,21,0.7,no_wedge
0.5,2.0,0.21947368421052632,0,0,0.22,-0.05378402827648335,21,0.7,no_wedge
0.5,0.0,0.3242105263157895,0,0,0.28,-0.4173192161926859,30,1.0,no_wedge
0.5,0.10526315789473684,0.3242105263157895,0,0,0.28,0.06450994985115541,30,1.0,no_wedge
0.5,0.21052631578947367,0.3242105263157895,0,0,0.28,-0.24793141501345373,30,1.0,no_wedge
0.5,0.3157894736842105,0.3242105263157895,0,0,0.28,0.10755443407539525,30,1.0,no_wedge
0.5,0.42105263157894735,0.3242105263157895,0,0,0.28,-0.1855692983220693,30,1.0,no_wedge
0.5,0.5263157894736842,0.3242105263157895,0,0,0.28,0.07994292639883036,30,1.0,no_wedge
0.5,0.631578947368421,0.3242105263157895,0,0,0.28,-0.1770544293420165,30,1.0,no_wedge
0.5,0.7368421052631579,0.3242105263157895,0,0,0.28,-0.2774957094332451,30,1.0,no_wedge
0.5,0.8421052631578947,0.3242105263157895,0,0,0.28,0.13754434188050754,30,1.0,no_wedge
0.5,0.9473684210526315,0.3242105263157895,0,0,0.28,-0.2550475804933722,30,1.0,no_wedge
0.5,1.0526315789473684,0.3242105263157895,0,0,0.28,0.15103078421518185,30,1.0,no_wedge
0.5,1.1578947368421053,0.3242105263157895,0,0,0.28,-0.2631998793038432,30,1.0,no_wedge
0.5,1.263157894736842,0.3242105263157895,0,0,0.28,0.02978437705917108,30,1.0,no_wedge
0.5,1.3684210526315788,0.3242105263157895,0,0,0.28,-0.29942428923611564,30,1.0,no_wedge
0.5,1.4736842105263157,0.3242105263157895,0,0,0.28,0.168057893603778,30,1.0,no_wedge
0.5,1.5789473684210527,0.3242105263157895,0,0,0.28,0.08815012693843335,30,1.0,no_wedge
0.5,1.6842105263157894,0.3242105263157895,0,0,0.28,-0.2462825310401562,30,1.0,no_wedge
0.5,1.789473684210526,0.3242105263157895,0,0,0.28,-0.02065911391271526,30,1.0,no_wedge
0.5,1.894736842105263,0.3242105263157895,0,0,0.28,-0.27983544060543286,30,1.0,no_wedge
0.5,2.0,0.3242105263157895,0,0,0.28,-0.12562347980019195,30,1.0,no_wedge
0.5,0.0,0.42894736842105263,0,0,0.32,-0.09288925108409309,30,1.0,no_wedge
0.5,0.10526315789473684,0.42894736842105263,0,0,0.32,0.08169980725666748,30,1.0,no_wedge
0.5,0.21052631578947367,0.42894736842105263,0,0,0.32,0.018560084486784846,30,1.0,no_wedge
0.5,0.3157894736842105,0.42894736842105263,0,0,0.32,0.00437945518664296,30,1.0,no_wedge
0.5,0.42105263157894735,0.42894736842105263,0,0,0.32,-0.04434328992250851,30,1.0,no_wedge
0.5,0.5263157894736842,0.42894736842105263,0,0,0.32,0.32791820119059206,30,1.0,no_wedge
0.5,0.631578947368421,0.42894736842105263,0,0,0.32,-0.049231954393501476,30,1.0,no_wedge
0.5,0.7368421052631579,0.42894736842105263,0,0,0.32,0.13531998614306434,30,1.0,no_wedge
0.5,0.8421052631578947,0.42894736842105263,0,0,0.32,-0.05193823690225732,30,1.0,no_wedge
0.5,0.9473684210526315,0.42894736842105263,0,0,0.32,-0.04131546486409825,30,1.0,no_wedge
0.5,1.0526315789473684,0.42894736842105263,0,0,0.32,0.058220478898385025,30,1.0,no_wedge
0.5,1.1578947368421053,0.42894736842105263,0,0,0.32,0.002082120733720669,30,1.0,no_wedge
0.5,1.263157894736842,0.42894736842105263,0,0,0.32,-0.22650001682220428,30,1.0,no_wedge
0.5,1.3684210526315788,0.42894736842105263,0,0,0.32,-0.1895956407248438,30,1.0,no_wedge
0.5,1.4736842105263157,0.42894736842105263,0,0,0.32,-0.3564526737446653,30,1.0,no_wedge
0.5,1.5789473684210527,0.42894736842105263,0,0,0.32,0.02055079827015298,30,1.0,no_wedge
0.5,1.6842105263157894,0.42894736842105263,0,0,0.32,0.030078426761071208,30,1.0,no_wedge
0.5,1.789473684210526,0.42894736842105263,0,0,0.32,-0.25382282752094193,30,1.0,no_wedge
0.5,1.894736842105263,0.42894736842105263,0,0,0.32,0.021830962031290542,30,1.0,no_wedge
0.5,2.0,0.42894736842105263,0,0,0.32,0.021650969380171487,30,1.0,no_wedge
0.5,0.0,0.5336842105263158,0,0,0.34,0.188072036803424,30,1.0,no_wedge
0.5,0.10526315789473684,0.5336842105263158,0,0,0.34,0.26221467845406793,30,1.0,no_wedge
0.5,0.21052631578947367,0.5336842105263158,0,0,0.34,0.4030629006469979,30,1.0,no_wedge
0.5,0.3157894736842105,0.5336842105263158,0,0,0.34,-0.19000634536882677,30,1.0,no_wedge
0.5,0.42105263157894735,0.5336842105263158,0,0,0.34,0.16459588459574864,30,1.0,no_wedge
0.5,0.5263157894736842,0.5336842105263158,0,0,0.34,0.29528593007763526,30,1.0,no_wedge
0.5,0.631578947368421,0.5336842105263158,0,0,0.34,0.37471786814350927,30,1.0,no_wedge
0.5,0.7368421052631579,0.5336842105263158,0,0,0.34,0.34540844337303933,30,1.0,no_wedge
0.5,0.8421052631578947,0.5336842105263158,0,0,0.34,0.23242530589623947,30,1.0,no_wedge
0.5,0.9473684210526315,0.5336842105263158,0,0,0.34,0.12342124347032873,30,1.0,no_wedge
0.5,1.0526315789473684,0.5336842105263158,0,0,0.34,-0.09115437651047067,30,1.0,no_wedge
0.5,1.1578947368421053,0.5336842105263158,0,0,0.34,0.3051419171310958,30,1.0,no_wedge
0.5,1.263157894736842,0.5336842105263158,0,0,0.34,0.41169002324576864,30,1.0,no_wedge
0.5,1.3684210526315788,0.5336842105263158,0,0,0.34,0.5052081996287814,30,1.0,no_wedge
0.5,1.4736842105263157,0.5336842105263158,0,0,0.34,0.44416814071761346,30,1.0,no_wedge
0.5,1.5789473684210527,0.5336842105263158,0,0,0.34,0.28851348607036736,30,1.0,no_wedge
0.5,1.6842105263157894,0.5336842105263158,0,0,0.34,-0.1338140162041745,30,1.0,no_wedge
0.5,1.789473684210526,0.5336842105263158,0,0,0.34,-0.13232504824999874,30,1.0,no_wedge
0.5,1.894736842105263,0.5336842105263158,0,0,0.34,0.2698332213205128,30,1.0,no_wedge
0.5,2.0,0.5336842105263158,0,0,0.34,0.26071973384820923,30,1.0,no_wedge
0.5,0.0,0.638421052631579,1,1,0.36,-0.1694280747622277,28,1.0,
0.5,0.10526315789473684,0.638421052631579,1,1,0.36,-0.028320818970843084,28,1.0,
0.5,0.21052631578947367,0.638421052631579,1,1,0.36,-0.1974569613731485,27,1.0,
0.5,0.3157894736842105,0.638421052631579,1,1,0.36,-0.35584584711396655,28,1.0,
0.5,0.42105263157894735,0.638421052631579,1,1,0.36,-0.1274361573733066,26,1.0,
0.5,0.5263157894736842,0.638421052631579,1,1,0.36,0.09752325522118795,27,1.0,
0.5,0.631578947368421,0.638421052631579,1,1,0.36,-0.38564646505967837,30,1.0,
0.5,0.7368421052631579,0.638421052631579,1,1,0.36,-0.2603103474781304,28,1.0,
0.5,0.8421052631578947,0.638421052631579,1,1,0.36,0.0858674767190859,29,1.0,
0.5,0.9473684210526315,0.638421052631579,1,1,0.36,0.051552170342250764,29,1.0,
0.5,1.0526315789473684,0.638421052631579,1,1,0.36,0.05328730788755981,28,1.0,
0.5,1.1578947368421053,0.638421052631579,1,1,0.36,-0.2440958601862288,30,1.0,
0.5,1.263157894736842,0.638421052631579,1,1,0.36,-0.019382633714699143,30,1.0,
0.5,1.3684210526315788,0.638421052631579,1,1,0.36,-0.30698672835748103,27,1.0,
0.5,1.4736842105263157,0.638421052631579,1,1,0.36,-0.20310123434524502,29,1.0,
0.5,1.5789473684210527,0.638421052631579,1,1,0.36,0.3300647106552316,29,1.0,
0.5,1.6842105263157894,0.638421052631579,1,1,0.36,-0.037117498862175684,29,1.0,
0.5,1.789473684210526,0.638421052631579,1,1,0.36,-0.15799189865690036,29,1.0,
0.5,1.894736842105263,0.638421052631579,1,1,0.36,-0.12198391503458715,28,1.0,
0.5,2.0,0.638421052631579,1,1,0.36,0.26349164593623736,29,1.0,
0.5,0.0,0.7431578947368421,1,1,0.38,-0.3638064058794789,19,1.0,
0.5,0.10526315789473684,0.7431578947368421,1,1,0.38,-0.3052081005166797,23,1.0,
0.5,0.21052631578947367,0.7431578947368421,1,1,0.38,-0.24061860079613073,26,1.0,
0.5,0.3157894736842105,0.7431578947368421,1,1,0.38,-0.25043047786492406,25,1.0,
0.5,0.42105263157894735,0.7431578947368421,1,1,0.38,-0.0734565047833067,21,1.0,
0.5,0.5263157894736842,0.7431578947368421,1,1,0.38,-0.2012903756241525,24,1.0,
0.5,0.631578947368421,0.7431578947368421,1,1,0.38,-0.4173612249730965,25,1.0,
0.5,0.7368421052631579,0.7431578947368421,1,1,0.38,-0.2303193629108966,28,1.0,
0.5,0.8421052631578947,0.7431578947368421,1,1,0.38,-0.21798411917134616,25,1.0,
0.5,0.9473684210526315,0.7431578947368421,1,1,0.38,-0.6396631309534069,23,1.0,
0.5,1.0526315789473684,0.7431578947368421,1,1,0.38,-0.538795679396466,23,1.0,
0.5,1.1578947368421053,0.7431578947368421,1,1,0.38,0.44936257587797296,22,1.0,
0.5,1.263157894736842,0.7431578947368421,1,1,0.38,-0.34096192097156913,25,1.0,
0.5,1.3684210526315788,0.7431578947368421,1,1,0.38,-0.09563932540763502,23,1.0,
0.5,1.4736842105263157,0.7431578947368421,1,1,0.38,-0.3310602417719815,24,1.0,
0.5,1.5789473684210527,0.7431578947368421,1,1,0.38,-0.548552032108556,23,1.0,
0.5,1.6842105263157894,0.7431578947368421,1,1,0.38,-0.037372874937825706,25,1.0,
0.5,1.789473684210526,0.7431578947368421,1,1,0.38,-0.28720730027429625,25,1.0,
0.5,1.894736842105263,0.7431578947368421,1,1,0.38,-0.09318063805475799,20,1.0,
0.5,2.0,0.7431578947368421,1,1,0.38,0.26370839633911825,23,1.0,
0.5,0.0,0.8478947368421053,1,1,0.4,0.04089053917667999,30,1.0,
0.5,0.10526315789473684,0.8478947368421053,1,1,0.4,0.022660690354416473,30,1.0,
0.5,0.21052631578947367,0.8478947368421053,1,1,0.4,-0.010919498526173677,30,1.0,
0.5,0.3157894736842105,0.8478947368421053,1,1,0.4,0.1061636010140418,30,1.0,
0.5,0.42105263157894735,0.8478947368421053,1,1,0.4,-0.09739497547473513,30,1.0,
0.5,0.5263157894736842,0.8478947368421053,1,1,0.4,-0.03688131556056026,30,1.0,
0.5,0.631578947368421,0.8478947368421053,1,1,0.4,0.06425321139276499,30,1.0,
0.5,0.7368421052631579,0.8478947368421053,1,1,0.4,-0.27272628352558503,30,1.0,
0.5,0.8421052631578947,0.8478947368421053,1,1,0.4,0.26075728333216275,30,1.0,
0.5,0.9473684210526315,0.8478947368421053,1,1,0.4,0.10210650080842366,30,1.0,
0.5,1.0526315789473684,0.8478947368421053,1,1,0.4,0.05378672479897345,30,1.0,
0.5,1.1578947368421053,0.8478947368421053,1,1,0.4,0.0856927168085593,30,1.0,
0.5,1.263157894736842,0.8478947368421053,1,1,0.4,0.0013633159039580936,30,1.0,
0.5,1.3684210526315788,0.8478947368421053,1,1,0.4,0.041732520008270456,30,1.0,
0.5,1.4736842105263157,0.8478947368421053,1,1,0.4,0.22069053737544614,30,1.0,
0.5,1.5789473684210527,0.8478947368421053,1,1,0.4,0.008301363676691462,30,1.0,
0.5,1.6842105263157894,0.8478947368421053,1,1,0.4,-0.13765503862155903,30,1.0,
0.5,1.789473684210526,0.8478947368421053,1,1,0.4,0.2046465456843709,30,1.0,
0.5,1.894736842105263,0.8478947368421053,1,1,0.4,0.016521148220451018,30,1.0,
0.5,2.0,0.8478947368421053,1,1,0.4,-0.07930574685339725,30,1.0,
0.5,0.0,0.9526315789473684,1,1,0.4,0.06275435134069907,30,1.0,
0.5,0.10526315789473684,0.9526315789473684,1,1,0.4,0.05981253044301291,30,1.0,
0.5,0.21052631578947367,0.9526315789473684,1,1,0.4,0.05926468976864646,30,1.0,
0.5,0.3157894736842105,0.9526315789473684,1,1,0.4,-0.011852675374060751,30,1.0,
0.5,0.42105263157894735,0.9526315789473684,1,1,0.4,-0.10828745107078713,30,1.0,
0.5,0.5263157894736842,0.9526315789473684,1,1,0.4,0.2823470138530827,30,1.0,
0.5,0.631578947368421,0.9526315789473684,1,1,0.4,0.0938583221362135,30,1.0,
0.5,0.7368421052631579,0.9526315789473684,1,1,0.4,0.21826064493607655,30,1.0,
0.5,0.8421052631578947,0.9526315789473684,1,1,0.4,-0.08210406014752492,30,1.0,
0.5,0.9473684210526315,0.9526315789473684,1,1,0.4,0.17184218685891128,30,1.0,
0.5,1.0526315789473684,0.9526315789473684,1,1,0.4,0.07000861351409263,30,1.0,
0.5,1.1578947368421053,0.9526315789473684,1,1,0.4,0.02341116190493013,30,1.0,
0.5,1.263157894736842,0.9526315789473684,1,1,0.4,0.19413002743850813,30,1.0,
0.5,1.3684210526315788,0.9526315789473684,1,1,0.4,0.363530360944784,30,1.0,
0.5,1.4736842105263157,0.9526315789473684,1,1,0.4,-0.0738671725788747,30,1.0,
0.5,1.5789473684210527,0.9526315789473684,1,1,0.4,-0.03794647646759214,30,1.0,
0.5,1.6842105263157894,0.9526315789473684,1,1,0.4,-0.12332593461988095,30,1.0,
0.5,1.789473684210526,0.9526315789473684,1,1,0.4,0.1986142697516043,30,1.0,
0.5,1.894736842105263,0.9526315789473684,1,1,0.4,-0.055747263995829646,30,1.0,
0.5,2.0,0.9526315789473684,1,1,0.4,0.17125766481328872,30,1.0,
0.5,0.0,1.0573684210526315,1,1,0.4,0.05105922605301288,30,1.0,
0.5,0.10526315789473684,1.0573684210526315,1,1,0.4,0.2243772630928093,30,1.0,
0.5,0.21052631578947367,1.0573684210526315,1,1,0.4,-0.1030109905456435,30,1.0,
0.5,0.3157894736842105,1.0573684210526315,1,1,0.4,0.17319023049476073,30,1.0,
0.5,0.42105263157894735,1.0573684210526315,1,1,0.4,0.1702151920382428,30,1.0,
0.5,0.5263157894736842,1.0573684210526315,1,1,0.4,0.01318713610629363,30,1.0,
0.5,0.631578947368421,1.0573684210526315,1,1,0.4,0.0017158751988103037,30,1.0,
0.5,0.7368421052631579,1.0573684210526315,1,1,0.4,-0.16783367691977596,30,1.0,
0.5,0.8421052631578947,1.0573684210526315,1,1,0.4,0.0695458738909203,30,1.0,
0.5,0.9473684210526315,1.0573684210526315,1,1,0.4,0.18260311296080184,30,1.0,
0.5,1.0526315789473684,1.0573684210526315,1,1,0.4,-0.08226662833073262,30,1.0,
0.5,1.1578947368421053,1.0573684210526315,1,1,0.4,-0.06274299029475805,30,1.0,
0.5,1.263157894736842,1.0573684210526315,1,1,0.4,-0.062420301983298065,30,1.0,
0.5,1.3684210526315788,1.0573684210526315,1,1,0.4,-0.20136762928289575,30,1.0,
0.5,1.4736842105263157,1.0573684210526315,1,1,0.4,0.054334314359417046,30,1.0,
0.5,1.5789473684210527,1.0573684210526315,1,1,0.4,0.08924768055252554,30,1.0,
0.5,1.6842105263157894,1.0573684210526315,1,1,0.4,0.11466430308074053,30,1.0,
0.5,1.789473684210526,1.0573684210526315,1,1,0.4,-0.236171725672071,30,1.0,
0.5,1.894736842105263,1.0573684210526315,1,1,0.4,0.028333170466403795,30,1.0,
0.5,2.0,1.0573684210526315,1,1,0.4,0.2223351611016552,30,1.0,
0.5,0.0,1.1621052631578948,1,1,0.4,0.06248176766584995,30,1.0,
0.5,0.10526315789473684,1.1621052631578948,1,1,0.4,0.1560348694191946,30,1.0,
0.5,0.21052631578947367,1.1621052631578948,1,1,0.4,-0.09192696632098016,30,1.0,
0.5,0.3157894736842105,1.1621052631578948,1,1,0.4,-0.07871803629274636,30,1.0,
0.5,0.42105263157894735,1.1621052631578948,1,1,0.4,-0.01836612121993339,30,1.0,
0.5,0.5263157894736842,1.1621052631578948,1,1,0.4,0.03989418247935152,30,1.0,
0.5,0.631578947368421,1.1621052631578948,1,1,0.4,0.002898457220526406,30,1.0,
0.5,0.7368421052631579,1.1621052631578948,1,1,0.4,0.058660499140425065,30,1.0,
0.5,0.8421052631578947,1.1621052631578948,1,1,0.4,0.012505965220281388,30,1.0,
0.5,0.9473684210526315,1.1621052631578948,1,1,0.4,0.11291171492403387,30,1.0,
0.5,1.0526315789473684,1.1621052631578948,1,1,0.4,0.04255962952323923,30,1.0,
0.5,1.1578947368421053,1.1621052631578948,1,1,0.4,0.12654987056809383,30,1.0,
0.5,1.263157894736842,1.1621052631578948,1,1,0.4,0.1648907172396843,30,1.0,
0.5,1.3684210526315788,1.1621052631578948,1,1,0.4,-0.0089442033681267,30,1.0,
0.5,1.4736842105263157,1.1621052631578948,1,1,0.4,-0.13114926815489975,30,1.0,
0.5,1.5789473684210527,1.1621052631578948,1,1,0.4,-0.09250298727716952,30,1.0,
0.5,1.6842105263157894,1.1621052631578948,1,1,0.4,-0.1853491248286427,30,1.0,
0.5,1.789473684210526,1.1621052631578948,1,1,0.4,-0.054081635841567735,30,1.0,
0.5,1.894736842105263,1.1621052631578948,1,1,0.4,0.078820016891993,30,1.0,
0.5,2.0,1.1621052631578948,1,1,0.4,-0.1947982218896011,30,1.0,
0.5,0.0,1.266842105263158,1,1,0.4,-0.14316761132740408,30,1.0,
0.5,0.10526315789473684,1.266842105263158,1,1,0.4,0.036954162173824176,30,1.0,
0.5,0.21052631578947367,1.266842105263158,1,1,0.4,0.028259271800437864,30,1.0,
0.5,0.3157894736842105,1.266842105263158,1,1,0.4,0.012147776408304488,30,1.0,
0.5,0.42105263157894735,1.266842105263158,1,1,0.4,-0.16033272410175536,30,1.0,
0.5,0.5263157894736842,1.266842105263158,1,1,0.4,-0.012420613793520925,30,1.0,
0.5,0.631578947368421,1.266842105263158,1,1,0.4,0.2521243596857051,30,1.0,
0.5,0.7368421052631579,1.266842105263158,1,1,0.4,-0.02957027575670936,30,1.0,
0.5,0.8421052631578947,1.266842105263158,1,1,0.4,0.06221642611343433,30,1.0,
0.5,0.9473684210526315,1.266842105263158,1,1,0.4,0.0034170110524311056,30,1.0,
0.5,1.0526315789473684,1.266842105263158,1,1,0.4,-0.08321165109542453,30,1.0,
0.5,1.1578947368421053,1.266842105263158,1,1,0.4,-0.12392793079554248,30,1.0,
0.5,1.263157894736842,1.266842105263158,1,1,0.4,0.018589848171480527,30,1.0,
0.5,1.3684210526315788,1.266842105263158,1,1,0.4,-0.09190643427516396,30,1.0,
0.5,1.4736842105263157,1.266842105263158,1,1,0.4,0.14092718207666646,30,1.0,
0.5,1.5789473684210527,1.266842105263158,1,1,0.4,-0.09806901982229752,30,1.0,
0.5,1.6842105263157894,1.266842105263158,1,1,0.4,-0.30742873817315375,30,1.0,
0.5,1.789473684210526,1.266842105263158,1,1,0.4,0.047043184577175545,30,1.0,
0.5,1.894736842105263,1.266842105263158,1,1,0.4,0.0532053903474376,30,1.0,
0.5,2.0,1.266842105263158,1,1,0.4,0.028027569750933724,30,1.0,
0.5,0.0,1.371578947368421,1,1,0.4,0.1286353283640263,30,1.0,
